iter	RMSE
0	3976.518923
1	3916.359762
2	3861.77181
3	3808.378155
4	3757.828537
5	3707.722953
6	3658.610587
7	3613.340963
8	3566.686766
9	3522.310447
10	3480.466454
11	3440.170463
12	3399.966408
13	3361.648521
14	3325.67154
15	3292.059537
16	3258.190821
17	3227.130549
18	3197.199364
19	3167.580055
20	3139.856251
21	3115.487984
22	3088.76265
23	3063.665842
24	3039.759157
25	3017.648349
26	2996.121453
27	2974.945344
28	2954.795168
29	2936.314969
30	2918.688429
31	2903.139473
32	2887.63781
33	2871.903707
34	2856.697471
35	2842.000706
36	2829.193691
37	2817.376009
38	2804.358531
39	2792.354521
40	2781.010859
41	2769.605663
42	2759.440781
43	2749.562683
44	2740.142102
45	2731.099569
46	2722.377847
47	2713.815056
48	2706.356902
49	2698.989852
50	2692.699801
51	2686.253728
52	2679.466569
53	2672.253791
54	2666.196089
55	2660.923606
56	2654.492967
57	2649.045923
58	2643.997405
59	2638.955603
60	2634.289103
61	2629.619171
62	2625.265829
63	2621.478991
64	2617.818613
65	2613.99858
66	2610.321673
67	2606.392395
68	2602.363842
69	2599.134486
70	2595.587264
71	2592.383038
72	2589.373945
73	2587.015683
74	2584.517194
75	2581.725895
76	2578.758267
77	2575.863393
78	2573.842809
79	2571.955939
80	2569.747582
81	2567.711499
82	2565.539381
83	2564.062732
84	2562.266181
85	2560.439734
86	2558.310068
87	2556.985086
88	2555.305366
89	2553.568457
90	2552.266658
91	2550.884511
92	2549.393287
93	2547.876559
94	2546.659698
95	2545.320963
96	2543.912336
97	2542.761158
98	2541.453575
99	2540.205085
100	2539.28057
101	2538.219358
102	2537.243382
103	2536.050002
104	2535.190114
105	2534.276576
106	2533.417297
107	2532.436964
108	2531.479717
109	2530.558873
110	2529.684268
111	2528.935604
112	2528.128183
113	2527.384454
114	2526.567319
115	2526.061484
116	2525.37643
117	2524.644235
118	2523.875914
119	2523.469942
120	2522.641219
121	2521.979375
122	2521.395158
123	2520.857996
124	2520.39899
125	2519.823501
126	2519.330785
127	2518.775842
128	2518.143582
129	2517.6648
130	2517.120926
131	2516.548589
132	2516.066847
133	2515.609984
134	2515.133736
135	2514.678386
136	2514.171234
137	2513.576976
138	2512.930111
139	2512.534668
140	2512.164889
141	2511.664983
142	2511.229596
143	2510.75352
144	2510.391237
145	2510.034535
146	2509.609933
147	2509.201734
148	2508.82084
149	2508.39636
150	2507.87601
151	2507.408858
152	2506.985011
153	2506.566571
154	2506.180797
155	2505.775236
156	2505.519683
157	2504.953582
158	2504.54124
159	2504.123611
160	2503.708649
161	2503.306979
162	2502.974136
163	2502.597711
164	2502.302287
165	2502.067647
166	2501.796661
167	2501.400238
168	2501.148349
169	2500.850232
170	2500.491337
171	2500.243048
172	2499.925351
173	2499.579206
174	2499.334084
175	2499.108515
176	2498.82959
177	2498.647761
178	2498.341842
179	2498.010737
180	2497.697103
181	2497.351728
182	2497.126504
183	2496.882739
184	2496.579296
185	2496.200968
186	2495.965564
187	2495.681898
188	2495.313414
189	2495.056709
190	2494.776919
191	2494.33918
192	2494.156272
193	2493.912936
194	2493.686642
195	2493.37434
196	2493.026323
197	2492.733408
198	2492.401438
199	2492.051168
200	2491.790917
201	2491.471657
202	2491.242861
203	2490.971453
204	2490.729888
205	2490.486398
206	2490.279098
207	2490.022736
208	2489.801297
209	2489.489583
210	2489.268952
211	2489.160003
212	2488.969044
213	2488.667709
214	2488.484097
215	2488.196036
216	2487.975538
217	2487.665326
218	2487.362315
219	2487.17878
220	2486.924181
221	2486.766424
222	2486.549113
223	2486.387972
224	2486.035896
225	2485.762047
226	2485.477746
227	2485.354636
228	2485.04906
229	2484.735051
230	2484.475181
231	2484.235944
232	2483.963991
233	2483.668066
234	2483.341182
235	2483.112251
236	2482.738246
237	2482.406112
238	2482.15449
239	2481.922409
240	2481.700379
241	2481.518146
242	2481.267937
243	2480.961098
244	2480.717557
245	2480.50617
246	2480.29669
247	2480.018414
248	2479.7932
249	2479.524944
250	2479.300582
251	2479.002748
252	2478.759612
253	2478.481752
254	2478.136254
255	2477.906924
256	2477.569625
257	2477.337958
258	2477.063475
259	2476.790205
260	2476.556325
261	2476.341288
262	2476.04143
263	2475.75401
264	2475.473613
265	2475.15565
266	2474.981414
267	2474.584384
268	2474.421655
269	2474.237859
270	2474.022565
271	2473.808833
272	2473.639009
273	2473.474531
274	2473.291129
275	2473.170458
276	2472.932839
277	2472.617853
278	2472.44992
279	2472.307426
280	2472.128692
281	2471.891388
282	2471.50798
283	2471.356523
284	2471.027956
285	2470.785044
286	2470.513036
287	2470.285765
288	2470.000593
289	2469.669689
290	2469.347348
291	2469.158634
292	2469.070213
293	2468.787953
294	2468.644792
295	2468.370425
296	2468.165817
297	2467.926268
298	2467.679675
299	2467.479253
300	2467.139791
301	2466.835807
302	2466.524513
303	2466.264007
304	2465.994703
305	2465.761184
306	2465.524559
307	2465.299964
308	2465.117266
309	2464.771347
310	2464.647938
311	2464.508754
312	2464.287901
313	2464.099629
314	2463.809142
315	2463.576195
316	2463.460489
317	2463.171001
318	2463.002506
319	2462.843626
320	2462.503672
321	2462.280339
322	2461.941583
323	2461.633261
324	2461.465998
325	2461.035339
326	2460.606787
327	2460.228322
328	2459.960904
329	2459.608355
330	2459.248024
331	2459.031517
332	2458.738662
333	2458.353603
334	2457.968891
335	2457.682991
336	2457.430619
337	2457.113517
338	2456.857813
339	2456.613509
340	2456.387846
341	2456.087918
342	2455.920678
343	2455.572584
344	2455.248762
345	2455.109004
346	2454.802187
347	2454.528702
348	2454.253088
349	2453.997643
350	2453.731476
351	2453.350058
352	2453.05104
353	2452.685702
354	2452.36236
355	2452.210489
356	2451.900371
357	2451.6635
358	2451.427445
359	2451.177105
360	2450.973584
361	2450.685808
362	2450.478411
363	2450.205291
364	2450.044786
365	2449.710056
366	2449.423424
367	2449.147294
368	2448.913831
369	2448.687747
370	2448.414313
371	2448.266782
372	2447.908201
373	2447.59855
374	2447.272536
375	2446.900114
376	2446.643093
377	2446.163082
378	2445.858192
379	2445.643375
380	2445.39453
381	2445.227386
382	2445.00715
383	2444.878106
384	2444.63122
385	2444.379685
386	2444.028731
387	2443.675159
388	2443.390625
389	2443.176907
390	2442.983915
391	2442.722828
392	2442.477528
393	2442.254022
394	2441.958589
395	2441.698501
396	2441.43045
397	2441.229509
398	2441.002516
399	2440.729026
400	2440.488478
401	2440.18221
402	2439.776921
403	2439.498591
404	2439.224144
405	2438.784224
406	2438.658052
407	2438.376252
408	2437.953829
409	2437.670293
410	2437.338558
411	2437.102582
412	2436.8251
413	2436.551756
414	2436.278107
415	2435.923186
416	2435.551241
417	2435.250306
418	2434.992388
419	2434.737716
420	2434.537671
421	2434.354281
422	2434.025895
423	2433.718992
424	2433.529805
425	2433.33768
426	2433.004743
427	2432.739088
428	2432.575827
429	2432.398304
430	2432.055465
431	2431.746638
432	2431.478285
433	2431.25211
434	2430.999303
435	2430.785974
436	2430.429285
437	2430.263026
438	2429.977854
439	2429.63483
440	2429.369208
441	2429.097835
442	2428.738084
443	2428.363589
444	2428.108233
445	2427.862922
446	2427.532348
447	2427.324974
448	2427.129771
449	2426.892481
450	2426.711382
451	2426.494545
452	2426.201532
453	2425.891597
454	2425.58231
455	2425.278243
456	2424.927885
457	2424.680388
458	2424.35281
459	2424.087631
460	2423.825829
461	2423.511812
462	2423.195726
463	2422.988967
464	2422.746758
465	2422.3888
466	2422.164482
467	2421.987546
468	2421.680703
469	2421.428148
470	2421.186697
471	2420.964788
472	2420.549283
473	2420.339441
474	2420.011858
475	2419.647224
476	2419.386955
477	2419.208269
478	2418.978405
479	2418.702561
480	2418.503872
481	2418.208616
482	2417.92942
483	2417.769997
484	2417.561908
485	2417.237488
486	2417.104892
487	2416.944829
488	2416.729108
489	2416.49061
490	2416.212458
491	2415.860608
492	2415.612097
493	2415.427046
494	2415.173255
495	2414.993376
496	2414.680567
497	2414.437827
498	2414.200807
499	2413.943108
500	2413.612954
501	2413.357528
502	2413.060803
503	2412.855149
504	2412.494999
505	2412.221173
506	2411.955692
507	2411.672904
508	2411.372741
509	2411.231208
510	2410.976146
511	2410.674475
512	2410.490996
513	2410.133249
514	2409.813125
515	2409.53623
516	2409.24726
517	2408.920478
518	2408.604497
519	2408.32826
520	2408.029006
521	2407.914784
522	2407.661023
523	2407.468944
524	2407.170235
525	2406.96071
526	2406.666832
527	2406.427891
528	2406.101885
529	2405.853506
530	2405.597518
531	2405.233196
532	2405.010218
533	2404.905274
534	2404.739488
535	2404.502919
536	2404.216451
537	2404.026739
538	2403.636996
539	2403.416126
540	2403.156126
541	2402.950696
542	2402.720286
543	2402.43064
544	2402.206044
545	2401.971215
546	2401.645456
547	2401.254122
548	2401.004012
549	2400.810208
550	2400.48633
551	2400.197062
552	2399.955199
553	2399.739327
554	2399.460596
555	2399.07838
556	2398.911486
557	2398.671276
558	2398.363231
559	2397.946138
560	2397.583543
561	2397.288255
562	2396.990185
563	2396.802594
564	2396.578814
565	2396.257295
566	2395.932444
567	2395.706899
568	2395.490047
569	2395.190821
570	2394.913882
571	2394.673048
572	2394.377802
573	2394.144827
574	2393.909205
575	2393.552971
576	2393.191755
577	2392.973086
578	2392.696553
579	2392.446738
580	2392.128382
581	2391.820635
582	2391.585222
583	2391.283657
584	2390.954112
585	2390.692795
586	2390.370195
587	2390.006227
588	2389.732906
589	2389.462316
590	2389.237537
591	2388.916131
592	2388.561937
593	2388.339591
594	2388.211252
595	2387.929215
596	2387.725138
597	2387.360941
598	2387.098902
599	2386.706951
