iter	Passed	Remaining
0	11	6837
1	21	6518
2	32	6565
3	43	6483
4	53	6361
5	64	6361
6	72	6123
7	80	5920
8	86	5652
9	93	5491
10	98	5283
11	104	5104
12	109	4956
13	115	4819
14	120	4686
15	125	4587
16	129	4454
17	134	4352
18	139	4254
19	143	4152
20	146	4048
21	150	3947
22	153	3855
23	157	3771
24	160	3685
25	163	3610
26	166	3539
27	170	3475
28	173	3411
29	176	3353
30	179	3302
31	183	3251
32	186	3207
33	189	3162
34	193	3122
35	196	3082
36	200	3044
37	203	3013
38	207	2982
39	211	2957
40	214	2926
41	218	2899
42	222	2877
43	225	2849
44	229	2826
45	232	2800
46	236	2781
47	240	2761
48	243	2741
49	247	2719
50	251	2703
51	254	2687
52	258	2669
53	262	2654
54	266	2639
55	270	2625
56	273	2608
57	277	2593
58	281	2579
59	285	2566
60	288	2550
61	292	2541
62	296	2527
63	300	2518
64	304	2508
65	308	2495
66	312	2483
67	316	2476
68	320	2466
69	324	2455
70	328	2444
71	332	2441
72	336	2430
73	340	2422
74	344	2413
75	348	2405
76	353	2400
77	357	2389
78	360	2379
79	365	2373
80	368	2363
81	373	2357
82	377	2348
83	381	2340
84	385	2335
85	389	2326
86	393	2322
87	398	2318
88	402	2312
89	407	2308
90	411	2304
91	416	2300
92	421	2295
93	425	2290
94	429	2284
95	434	2279
96	438	2274
97	443	2270
98	447	2263
99	451	2256
100	455	2251
101	460	2246
102	464	2240
103	468	2234
104	472	2228
105	476	2222
106	481	2217
107	485	2212
108	489	2206
109	493	2200
110	498	2195
111	502	2188
112	506	2182
113	510	2175
114	514	2170
115	518	2164
116	522	2158
117	527	2153
118	531	2149
119	535	2143
120	539	2136
121	543	2131
122	548	2126
123	552	2120
124	556	2114
125	560	2109
126	564	2103
127	569	2098
128	573	2093
129	577	2087
130	581	2082
131	585	2076
132	589	2070
133	594	2065
134	598	2060
135	602	2054
136	606	2049
137	611	2046
138	615	2040
139	619	2035
140	624	2033
141	628	2028
142	632	2022
143	637	2018
144	641	2013
145	645	2008
146	650	2003
147	654	2000
148	659	1995
149	663	1991
150	668	1987
151	672	1983
152	677	1977
153	681	1974
154	687	1972
155	691	1968
156	696	1964
157	700	1960
158	705	1955
159	709	1950
160	713	1946
161	718	1942
162	722	1936
163	726	1932
164	730	1926
165	735	1922
166	739	1918
167	744	1913
168	748	1909
169	752	1904
170	757	1900
171	761	1895
172	766	1891
173	771	1888
174	775	1883
175	780	1880
176	785	1877
177	790	1873
178	794	1869
179	799	1865
180	803	1861
181	808	1856
182	812	1852
183	817	1848
184	821	1843
185	826	1839
186	830	1835
187	835	1830
188	840	1827
189	845	1823
190	849	1819
191	853	1814
192	858	1809
193	862	1805
194	866	1800
195	871	1795
196	875	1791
197	880	1787
198	884	1783
199	889	1779
200	894	1774
201	898	1770
202	903	1765
203	907	1761
204	912	1757
205	916	1753
206	921	1749
207	926	1746
208	931	1743
209	936	1739
210	941	1735
211	945	1731
212	950	1727
213	955	1723
214	960	1720
215	965	1715
216	969	1710
217	973	1705
218	977	1700
219	982	1697
220	987	1693
221	991	1688
222	996	1684
223	1000	1679
224	1004	1674
225	1010	1671
226	1015	1668
227	1020	1664
228	1025	1660
229	1029	1656
230	1033	1651
231	1038	1647
232	1043	1643
233	1047	1638
234	1052	1634
235	1056	1630
236	1061	1625
237	1065	1621
238	1070	1616
239	1074	1611
240	1078	1607
241	1083	1602
242	1088	1598
243	1092	1594
244	1097	1590
245	1102	1585
246	1106	1581
247	1110	1576
248	1115	1572
249	1120	1568
250	1124	1563
251	1129	1559
252	1134	1555
253	1138	1551
254	1143	1546
255	1147	1541
256	1152	1537
257	1156	1533
258	1161	1529
259	1166	1525
260	1171	1520
261	1176	1517
262	1181	1513
263	1186	1509
264	1191	1505
265	1196	1501
266	1200	1497
267	1204	1492
268	1209	1487
269	1213	1483
270	1218	1479
271	1223	1474
272	1227	1470
273	1232	1466
274	1236	1461
275	1241	1457
276	1246	1453
277	1250	1448
278	1255	1444
279	1259	1439
280	1263	1434
281	1268	1430
282	1272	1425
283	1277	1421
284	1282	1417
285	1286	1412
286	1290	1407
287	1295	1403
288	1300	1399
289	1304	1394
290	1309	1390
291	1313	1385
292	1317	1380
293	1322	1376
294	1326	1371
295	1330	1366
296	1335	1362
297	1339	1357
298	1343	1352
299	1348	1348
300	1353	1344
301	1358	1340
302	1362	1335
303	1367	1331
304	1371	1326
305	1376	1322
306	1380	1318
307	1385	1313
308	1389	1308
309	1394	1304
310	1398	1299
311	1402	1294
312	1407	1290
313	1411	1285
314	1415	1280
315	1420	1276
316	1424	1271
317	1429	1267
318	1433	1262
319	1437	1257
320	1442	1253
321	1446	1249
322	1451	1244
323	1456	1240
324	1459	1235
325	1464	1230
326	1469	1226
327	1474	1222
328	1478	1217
329	1482	1213
330	1487	1208
331	1492	1204
332	1496	1199
333	1500	1195
334	1505	1190
335	1509	1186
336	1513	1181
337	1518	1177
338	1523	1173
339	1527	1168
340	1532	1163
341	1536	1159
342	1540	1154
343	1545	1150
344	1549	1145
345	1554	1140
346	1558	1136
347	1562	1131
348	1567	1127
349	1572	1123
350	1577	1118
351	1581	1114
352	1586	1109
353	1590	1105
354	1594	1100
355	1599	1096
356	1604	1091
357	1608	1087
358	1612	1082
359	1617	1078
360	1621	1073
361	1626	1069
362	1630	1064
363	1634	1059
364	1638	1055
365	1643	1050
366	1647	1046
367	1651	1041
368	1656	1036
369	1660	1032
370	1665	1027
371	1669	1023
372	1674	1018
373	1678	1014
374	1683	1009
375	1687	1005
376	1691	1000
377	1696	996
378	1700	991
379	1705	987
380	1709	982
381	1714	978
382	1718	973
383	1723	969
384	1727	964
385	1731	959
386	1737	956
387	1742	951
388	1746	947
389	1750	942
390	1755	938
391	1759	933
392	1763	929
393	1768	924
394	1772	920
395	1777	915
396	1781	911
397	1785	906
398	1790	901
399	1794	897
400	1799	892
401	1803	888
402	1808	883
403	1812	879
404	1816	874
