customer_id,signup_date,region,acquisition_channel,age_group,preferred_payment_type,customer_segment,device_type,email_opt_in,churned_flag,total_orders,first_purchase_value,is_returning_flag,true_clv,is_returning_flag_cleaned,total_orders_flag_leakage_risk
CUST00001,2021-04-08,East,referral,26-35,UPI,Bronze,tablet,True,True,5,1111.34,True,17686.28,True,True
CUST00002,2023-04-28,Central,organic,36-45,UPI,Gold,mobile,False,True,5,802.02,True,28307.06,True,True
CUST00003,2022-12-18,South,organic,26-35,UPI,Silver,mobile,False,True,5,1694.8,True,20115.56,True,True
CUST00004,2022-04-26,East,social,36-45,card,Gold,mobile,True,False,4,515.09,False,23012.39,True,True
CUST00005,2022-04-20,East,paid_ads,36-45,card,Silver,desktop,True,True,5,797.08,True,19528.16,True,True
CUST00006,2023-07-30,Central,social,60+,COD,Gold,desktop,True,True,6,520.84,True,19018.34,True,True
CUST00007,2021-04-05,Northeast,paid_ads,26-35,wallet,Bronze,desktop,True,True,6,2426.52,True,19165.02,True,True
CUST00008,2023-02-03,Central,social,26-35,UPI,Bronze,tablet,True,True,2,445.14,True,21018.52,True,True
CUST00009,2021-08-09,West,social,18-25,wallet,Silver,tablet,False,False,5,1237.41,True,20272.54,True,True
CUST00010,2021-04-14,West,social,26-35,card,Bronze,desktop,True,False,8,1210.85,True,20063.11,True,True
CUST00011,2022-07-31,West,paid_ads,46-60,card,Gold,desktop,True,True,6,851.0,True,23833.34,True,True
CUST00012,2023-12-05,West,email,18-25,wallet,Silver,mobile,True,False,5,1091.45,True,18645.32,True,True
CUST00013,2023-03-17,North,paid_ads,60+,wallet,Platinum,mobile,True,True,3,460.02,True,26001.4,True,True
CUST00014,2023-04-14,West,social,18-25,UPI,Bronze,mobile,True,False,7,331.67,True,22536.6,True,True
CUST00015,2023-02-25,West,paid_ads,46-60,UPI,Platinum,mobile,True,True,5,1098.22,True,23726.08,True,True
CUST00016,2023-05-11,East,organic,36-45,UPI,Gold,desktop,False,True,2,2117.97,True,23229.38,True,True
CUST00017,2022-07-16,Central,referral,46-60,wallet,Gold,tablet,False,False,4,501.69,True,20646.52,True,True
CUST00018,2021-05-21,West,paid_ads,26-35,UPI,Silver,mobile,True,True,2,747.51,True,23039.62,True,True
CUST00019,2023-07-09,South,organic,36-45,UPI,Silver,desktop,False,True,7,400.1,True,20186.17,True,True
CUST00020,2022-05-09,North,paid_ads,18-25,card,Gold,mobile,False,True,6,493.49,True,23955.96,True,True
CUST00021,2022-07-02,North,organic,26-35,card,Platinum,desktop,True,False,3,276.34,True,21196.05,True,True
CUST00022,2022-02-11,South,email,36-45,wallet,Bronze,mobile,True,True,7,301.77,True,18286.74,True,True
CUST00023,2021-07-19,East,referral,18-25,UPI,Silver,desktop,True,True,6,3013.91,True,23087.29,True,True
CUST00024,2023-10-12,North,organic,36-45,wallet,Bronze,mobile,True,True,4,568.89,True,17531.48,True,True
CUST00025,2023-05-06,South,social,26-35,wallet,Silver,mobile,True,True,5,524.83,True,21439.03,True,True
CUST00026,2022-12-07,South,referral,26-35,UPI,Silver,tablet,True,True,9,1614.47,True,21556.14,True,True
CUST00027,2022-03-17,Central,social,36-45,wallet,Bronze,mobile,True,True,1,620.69,False,22304.64,False,True
CUST00028,2023-06-20,Central,referral,18-25,card,Bronze,mobile,True,True,1,513.77,False,11754.26,False,True
CUST00029,2022-08-21,East,organic,36-45,card,Bronze,mobile,False,True,1,2742.9,False,18213.41,False,True
CUST00030,2022-05-01,North,organic,46-60,UPI,Bronze,mobile,True,True,2,561.62,True,17175.07,True,True
CUST00031,2022-05-09,North,social,18-25,wallet,Bronze,mobile,False,True,0,1188.3,False,21146.5,False,True
CUST00032,2021-09-06,North,social,26-35,UPI,Bronze,mobile,False,True,2,165.48,True,19155.93,True,True
CUST00033,2021-04-11,East,social,18-25,UPI,Silver,desktop,False,True,5,1720.75,True,25143.34,True,True
CUST00034,2022-08-31,North,organic,26-35,COD,Silver,mobile,True,True,7,349.62,True,21895.71,True,True
CUST00035,2023-08-31,South,social,36-45,COD,Bronze,mobile,True,False,4,967.27,True,20689.45,True,True
CUST00036,2021-03-11,Northeast,paid_ads,46-60,netbanking,Bronze,desktop,True,True,0,731.6,False,18777.52,False,True
CUST00037,2023-07-29,East,social,26-35,card,Bronze,mobile,False,True,3,1016.61,True,17652.07,True,True
CUST00038,2023-06-26,Central,paid_ads,18-25,COD,Bronze,mobile,True,False,1,194.23,False,16216.65,False,True
CUST00039,2021-10-31,North,social,18-25,wallet,Bronze,tablet,False,False,0,1153.0,False,15255.9,False,True
CUST00040,2022-11-23,South,email,26-35,card,Bronze,mobile,True,True,1,778.76,False,14059.79,False,True
CUST00041,2021-06-30,Northeast,organic,Unknown,card,Bronze,tablet,False,True,1,1096.1,True,18602.17,False,True
CUST00042,2023-04-11,East,social,Unknown,card,Silver,desktop,True,True,3,1227.76,True,18747.35,True,True
CUST00043,2023-02-07,West,referral,18-25,COD,Bronze,mobile,True,True,2,211.42,True,18968.65,True,True
CUST00044,2022-01-24,Northeast,paid_ads,36-45,UPI,Silver,mobile,True,False,2,775.55,True,18592.49,True,True
CUST00045,2021-03-16,West,paid_ads,26-35,card,Gold,mobile,False,True,3,1144.23,True,24469.2,True,True
CUST00046,2023-11-29,South,social,46-60,card,Bronze,mobile,True,True,3,749.93,True,15910.55,True,True
CUST00047,2022-05-04,East,paid_ads,46-60,COD,Bronze,mobile,False,True,3,455.04,True,19197.04,True,True
CUST00048,2023-09-05,North,organic,46-60,UPI,Silver,mobile,False,True,6,321.26,True,23899.12,True,True
CUST00049,2023-01-13,North,social,26-35,COD,Bronze,desktop,True,True,2,1713.05,True,15298.98,True,True
CUST00050,2023-05-03,North,referral,26-35,card,Silver,desktop,True,True,7,353.06,True,20539.9,True,True
CUST00051,2023-04-13,Central,social,18-25,netbanking,Silver,desktop,True,True,1,502.54,False,16022.93,False,True
CUST00052,2021-08-02,West,referral,26-35,card,Platinum,desktop,True,False,7,689.05,True,28945.07,True,True
CUST00053,2022-02-03,South,referral,36-45,UPI,Platinum,mobile,False,False,7,924.95,True,30091.32,True,True
CUST00054,2022-05-27,South,social,60+,netbanking,Bronze,mobile,True,True,2,498.27,True,11149.81,True,True
CUST00055,2022-06-30,West,organic,36-45,UPI,Gold,mobile,False,False,3,1408.35,True,23690.7,True,True
CUST00056,2021-02-17,Central,paid_ads,26-35,UPI,Bronze,desktop,False,False,3,879.24,True,17873.37,True,True
CUST00057,2022-08-22,South,referral,26-35,UPI,Silver,desktop,True,False,0,885.87,False,16256.89,False,True
CUST00058,2021-06-18,South,email,36-45,wallet,Silver,desktop,False,False,1,1269.01,False,22829.1,False,True
CUST00059,2023-03-25,Central,paid_ads,18-25,UPI,Bronze,desktop,False,False,0,383.01,False,15329.61,False,True
CUST00060,2023-01-18,Central,email,18-25,UPI,Bronze,mobile,False,True,4,380.24,True,23305.43,True,True
CUST00061,2023-10-08,Central,social,Unknown,card,Gold,mobile,False,True,8,489.87,True,23079.72,True,True
CUST00062,2023-03-27,South,paid_ads,46-60,netbanking,Bronze,mobile,True,False,1,986.52,False,11836.31,False,True
CUST00063,2022-02-06,North,paid_ads,26-35,COD,Silver,mobile,True,False,7,1068.29,True,24097.94,True,True
CUST00064,2023-11-26,East,organic,46-60,COD,Platinum,mobile,True,True,3,479.54,True,23054.12,True,True
CUST00065,2022-03-26,South,referral,26-35,COD,Bronze,mobile,True,False,2,627.68,True,13323.76,True,True
CUST00066,2021-12-23,Central,organic,Unknown,UPI,Bronze,tablet,True,True,6,903.0,True,22784.29,True,True
CUST00067,2023-09-19,North,paid_ads,46-60,card,Bronze,mobile,True,True,4,1268.63,True,16265.53,True,True
CUST00068,2022-02-10,West,organic,46-60,card,Bronze,mobile,True,True,4,924.8,True,20811.35,True,True
CUST00069,2021-03-25,Central,email,18-25,COD,Bronze,mobile,True,True,1,449.21,False,15973.47,False,True
CUST00070,2022-05-30,Northeast,paid_ads,18-25,UPI,Silver,tablet,True,False,10,239.58,True,25568.02,True,True
CUST00071,2023-05-22,West,paid_ads,18-25,card,Silver,mobile,True,False,3,243.19,True,20048.09,True,True
CUST00072,2021-07-27,Northeast,paid_ads,26-35,card,Gold,desktop,True,True,2,680.68,True,22772.63,True,True
CUST00073,2022-05-22,North,organic,18-25,netbanking,Bronze,mobile,False,False,1,2343.51,False,20715.23,False,True
CUST00074,2021-05-23,South,paid_ads,36-45,card,Silver,mobile,True,True,3,657.0,True,22566.74,True,True
CUST00075,2023-01-22,North,social,26-35,UPI,Gold,mobile,False,False,10,133.64,True,24812.81,True,True
CUST00076,2022-06-05,Northeast,referral,60+,wallet,Silver,desktop,True,False,6,207.74,True,18356.59,True,True
CUST00077,2021-12-28,Central,paid_ads,46-60,UPI,Silver,mobile,False,True,6,3353.04,True,22475.29,True,True
CUST00078,2021-09-06,North,social,36-45,card,Silver,mobile,True,True,5,269.1,True,25931.13,True,True
CUST00079,2022-09-11,North,organic,36-45,UPI,Gold,desktop,False,True,7,774.53,True,21747.88,True,True
CUST00080,2023-01-04,South,social,Unknown,UPI,Bronze,desktop,False,False,1,534.96,False,16503.5,False,True
CUST00081,2023-10-27,South,organic,18-25,card,Bronze,mobile,False,True,7,486.08,True,23639.26,True,True
CUST00082,2022-04-24,Central,social,26-35,UPI,Bronze,tablet,False,True,3,754.77,True,14758.93,True,True
CUST00083,2021-06-25,North,email,46-60,COD,Silver,tablet,False,False,6,333.68,True,27647.73,True,True
CUST00084,2023-07-01,Central,social,18-25,wallet,Silver,mobile,False,False,4,1018.96,True,21782.59,True,True
CUST00085,2022-11-21,West,organic,26-35,card,Silver,mobile,True,True,6,606.77,True,25290.99,True,True
CUST00086,2023-02-06,South,referral,46-60,card,Bronze,mobile,True,True,1,193.16,False,16288.06,False,True
CUST00087,2021-04-17,North,social,26-35,UPI,Platinum,desktop,False,False,8,495.7,True,24656.89,True,True
CUST00088,2021-12-09,Northeast,referral,46-60,card,Silver,mobile,True,False,5,476.42,True,23355.17,True,True
CUST00089,2023-04-21,West,paid_ads,46-60,card,Bronze,mobile,True,True,2,487.23,True,16449.63,True,True
CUST00090,2023-07-01,East,paid_ads,18-25,card,Silver,desktop,False,True,1,550.83,False,17726.48,False,True
CUST00091,2022-04-22,South,organic,36-45,card,Bronze,mobile,True,True,4,579.53,True,16872.48,True,True
CUST00092,2023-06-01,Central,paid_ads,18-25,UPI,Gold,mobile,True,False,7,828.75,True,23635.14,True,True
CUST00093,2023-07-11,Central,organic,26-35,card,Silver,mobile,True,True,2,596.85,True,17189.41,True,True
CUST00094,2022-03-01,Central,referral,46-60,card,Bronze,mobile,True,False,6,254.38,True,17726.97,True,True
CUST00095,2023-09-11,West,paid_ads,18-25,card,Bronze,mobile,True,True,4,963.72,True,16167.5,True,True
CUST00096,2021-11-12,Central,organic,46-60,UPI,Bronze,mobile,False,True,6,438.96,True,18255.37,True,True
CUST00097,2021-09-20,South,organic,60+,UPI,Silver,mobile,False,False,3,370.95,True,18170.77,True,True
CUST00098,2023-01-18,West,email,36-45,card,Silver,mobile,True,False,4,1070.76,True,19455.29,True,True
CUST00099,2022-11-29,East,referral,26-35,UPI,Bronze,mobile,True,True,2,181.99,True,21092.55,True,True
CUST00100,2021-06-03,West,referral,26-35,card,Silver,mobile,True,False,7,350.35,True,26511.12,True,True
CUST00101,2023-07-01,Northeast,social,Unknown,COD,Bronze,desktop,False,False,1,172.81,False,13455.96,False,True
CUST00102,2021-08-07,Northeast,referral,18-25,UPI,Bronze,mobile,True,True,6,1024.96,True,18013.3,True,True
CUST00103,2023-06-01,East,paid_ads,18-25,wallet,Bronze,desktop,True,True,0,1110.67,False,18386.38,False,True
CUST00104,2021-01-09,West,referral,18-25,wallet,Bronze,mobile,False,True,9,2230.83,True,24100.22,True,True
CUST00105,2023-05-23,Central,organic,36-45,UPI,Gold,mobile,True,False,5,566.74,True,22533.87,True,True
CUST00106,2023-05-12,Northeast,referral,18-25,UPI,Silver,mobile,True,True,5,1104.85,True,23621.53,True,True
CUST00107,2023-05-05,Central,organic,26-35,UPI,Platinum,mobile,False,False,3,165.21,True,22152.65,True,True
CUST00108,2022-12-30,North,email,36-45,UPI,Silver,mobile,True,True,6,2155.11,True,20566.5,True,True
CUST00109,2022-06-01,South,paid_ads,18-25,UPI,Bronze,mobile,False,False,3,508.91,True,20476.46,True,True
CUST00110,2023-02-12,Central,organic,26-35,card,Bronze,mobile,True,True,1,1800.03,False,17547.97,False,True
CUST00111,2021-10-31,Central,referral,18-25,UPI,Silver,tablet,True,True,4,647.29,True,18262.28,True,True
CUST00112,2023-05-05,Central,organic,18-25,UPI,Bronze,mobile,True,True,4,716.17,True,17918.71,True,True
CUST00113,2022-09-01,West,paid_ads,26-35,card,Silver,mobile,True,True,2,543.95,True,17886.07,True,True
CUST00114,2022-05-18,East,social,18-25,COD,Gold,mobile,True,True,6,490.4,True,23436.19,True,True
CUST00115,2022-07-08,East,social,26-35,card,Bronze,mobile,False,True,1,1808.57,False,17803.98,False,True
CUST00116,2022-09-15,Central,social,18-25,card,Gold,desktop,True,True,4,284.79,True,22078.66,True,True
CUST00117,2021-02-10,South,paid_ads,26-35,wallet,Platinum,mobile,False,True,9,1638.59,True,27700.0,True,True
CUST00118,2021-06-03,West,paid_ads,36-45,COD,Bronze,mobile,False,True,6,724.52,True,19026.32,True,True
CUST00119,2021-09-26,Central,organic,36-45,UPI,Silver,mobile,False,True,3,628.87,True,24312.7,True,True
CUST00120,2021-05-06,Central,referral,26-35,UPI,Bronze,desktop,False,False,1,933.53,False,20003.46,False,True
CUST00121,2022-04-27,South,referral,46-60,card,Bronze,mobile,False,False,3,389.71,True,21967.88,True,True
CUST00122,2023-01-02,Central,organic,36-45,netbanking,Bronze,mobile,False,True,4,1211.21,True,18195.0,True,True
CUST00123,2022-12-18,North,organic,36-45,wallet,Bronze,mobile,True,True,3,1452.58,True,22653.65,True,True
CUST00124,2022-05-31,North,organic,26-35,card,Gold,mobile,True,False,3,528.98,True,22261.94,True,True
CUST00125,2023-07-26,East,organic,18-25,wallet,Gold,mobile,True,True,2,1275.75,True,21937.4,True,True
CUST00126,2022-09-11,North,organic,26-35,card,Bronze,mobile,False,True,1,363.36,False,16012.66,False,True
CUST00127,2021-03-28,Northeast,paid_ads,26-35,UPI,Bronze,desktop,False,True,3,1196.33,True,22300.45,True,True
CUST00128,2023-04-18,Central,paid_ads,60+,UPI,Gold,mobile,True,False,7,2381.01,True,22230.78,True,True
CUST00129,2022-09-22,North,paid_ads,60+,wallet,Gold,tablet,False,False,5,659.21,True,23916.62,True,True
CUST00130,2022-11-27,Central,organic,18-25,netbanking,Bronze,mobile,False,True,2,1759.66,True,24642.42,True,True
