,0
monetary_total,1348.4299
customer_segment,1094.1981
tenure_days,646.14825
frequency,576.87885
category_diversity,236.10625
acquisition_channel,179.48134
monetary_std,125.964195
top_category,119.78673
region,84.81584
recency_days,82.94714
avg_delivery_days,74.442535
first_purchase_value,74.40309
avg_discount,71.738075
monetary_avg,70.29811
avg_review_score,48.83146
preferred_payment_type,41.341244
age_group,35.07837
review_missing_rate,27.662794
device_type,16.95797
email_opt_in,14.221822
is_returning_flag,10.985953
churned_flag,8.51124
