,0
monetary_total,1348.4299
customer_segment_emb_1,784.1795
tenure_days,646.14825
frequency,576.87885
customer_segment_emb_0,310.02
category_diversity,236.10625
monetary_std,125.964195
acquisition_channel_emb_1,86.93193
acquisition_channel_emb_0,85.03139
recency_days,82.94714
avg_delivery_days,74.442535
first_purchase_value,74.40309
avg_discount,71.738075
monetary_avg,70.29811
avg_review_score,48.83146
region_emb_1,47.40324
top_category_emb_1,28.005455
review_missing_rate,27.662794
region_emb_0,23.794867
top_category_emb_2,22.090055
top_category_emb_5,18.778744
top_category_emb_3,17.01249
age_group_emb_0,15.826449
preferred_payment_type_emb_1,15.333646
email_opt_in,14.221822
preferred_payment_type_emb_2,13.660293
region_emb_2,13.617683
device_type_emb_0,13.069557
preferred_payment_type_emb_0,12.347318
age_group_emb_1,12.168176
top_category_emb_4,12.157383
top_category_emb_6,11.866029
is_returning_flag,10.985953
top_category_emb_0,9.876622
churned_flag,8.51124
acquisition_channel_emb_2,7.5180593
age_group_emb_2,7.083749
device_type_emb_1,3.8883893
