customer_id,signup_date,region,acquisition_channel,age_group,preferred_payment_type,customer_segment,device_type,email_opt_in,churned_flag,total_orders,first_purchase_value,is_returning_flag,true_clv
CUST00001,2021-04-08,East,referral,26-35,UPI,Bronze,tablet,True,True,5,1111.34,True,17686.28
CUST00002,2023-04-28,Central,organic,36-45,UPI,Gold,mobile,False,True,5,802.02,True,28307.06
CUST00003,2022-12-18,South,organic,26-35,UPI,Silver,mobile,False,True,5,1694.8,True,20115.56
CUST00004,2022-04-26,East,social,36-45,card,Gold,mobile,True,False,4,515.09,False,23012.39
CUST00005,2022-04-20,East,paid_ads,36-45,card,Silver,desktop,True,True,5,797.08,True,19528.16
CUST00006,2023-07-30,Central,social,60+,COD,Gold,desktop,True,True,6,520.84,True,19018.34
CUST00007,2021-04-05,Northeast,paid_ads,26-35,wallet,Bronze,desktop,True,True,6,2426.52,True,19165.02
CUST00008,2023-02-03,Central,social,26-35,UPI,Bronze,tablet,True,True,2,445.14,True,21018.52
CUST00009,2021-08-09,West,social,18-25,wallet,Silver,tablet,False,False,5,1237.41,True,20272.54
CUST00010,2021-04-14,West,social,26-35,card,Bronze,desktop,True,False,8,1210.85,True,20063.11
CUST00011,2022-07-31,West,paid_ads,46-60,card,Gold,desktop,True,True,6,851.0,True,23833.34
CUST00012,2023-12-05,West,email,18-25,wallet,Silver,mobile,True,False,5,1091.45,True,18645.32
CUST00013,2023-03-17,North,paid_ads,60+,wallet,Platinum,mobile,True,True,3,460.02,True,26001.4
CUST00014,2023-04-14,West,social,18-25,UPI,Bronze,mobile,True,False,7,331.67,True,22536.6
CUST00015,2023-02-25,West,paid_ads,46-60,UPI,Platinum,mobile,True,True,5,1098.22,True,23726.08
CUST00016,2023-05-11,East,organic,36-45,UPI,Gold,desktop,False,True,2,2117.97,True,23229.38
CUST00017,2022-07-16,Central,referral,46-60,wallet,Gold,tablet,False,False,4,501.69,True,20646.52
CUST00018,2021-05-21,West,paid_ads,26-35,UPI,Silver,mobile,True,True,2,747.51,True,23039.62
CUST00019,2023-07-09,South,organic,36-45,UPI,Silver,desktop,False,True,7,400.1,True,20186.17
CUST00020,2022-05-09,North,paid_ads,18-25,card,Gold,mobile,False,True,6,493.49,True,23955.96
CUST00021,2022-07-02,North,organic,26-35,card,Platinum,desktop,True,False,3,276.34,True,21196.05
CUST00022,2022-02-11,South,email,36-45,wallet,Bronze,mobile,True,True,7,301.77,True,18286.74
CUST00023,2021-07-19,East,referral,18-25,UPI,Silver,desktop,True,True,6,3013.91,True,23087.29
CUST00024,2023-10-12,North,organic,36-45,wallet,Bronze,mobile,True,True,4,568.89,True,17531.48
CUST00025,2023-05-06,South,social,26-35,wallet,Silver,mobile,True,True,5,524.83,True,21439.03
CUST00026,2022-12-07,South,referral,26-35,UPI, Silver,tablet,True,True,9,1614.47,True,21556.14
CUST00027,2022-03-17,Central,social,36-45,wallet,Bronze,mobile,True,True,1,620.69,False,22304.64
CUST00028,2023-06-20,Central,referral,18-25,card,Bronze,mobile,True,True,1,513.77,False,11754.26
CUST00029,2022-08-21,East,organic,36-45,card,Bronze,mobile,False,True,1,2742.9,False,18213.41
